ID,Screen name,Foto Profil,Following,Following kurang 30,Followers,Followers lebih 1000,Tweet,Tweet kurang 50,Lokasi,URL,Deskripsi,Follower Ratio 2:1,Follower Ratio 50:1,Follower Ratio 100:1,Pola Aktivitas Akun,Usia Akun (bulan),Usia Akun kurang sama dengan 12,Rataan Tweet per Minggu,Retweet Ratio %,Retweet Ratio lebih sama dengan 60,Kategori
"1,32E+22",1,0,53,0,25,0,3,1,1,0,0,1,0,0,1,0,1,0.29,33,0,1
"1,32E+23",1,0,218,0,52,0,3,1,1,0,0,0,0,0,0,0,1,0.25,0,0,0
"1,33E+23",1,0,530,0,123,0,5,1,1,0,0,0,0,0,0,0,1,0.65,0,0,0
"1,33E+23",1,1,237,0,18,0,6,1,1,0,0,0,0,0,1,0,1,0.77,0,1,1
"1,35E+23",1,0,94,0,31,0,14,1,1,0,1,0,0,0,1,0,1,3700,86,1,1
"1,34E+23",1,0,631,0,1858,1,1001,0,1,0,0,0,0,0,0,0,1,310,1,0,0
"1,34E+23",0,1,513,0,493,0,168,0,1,0,0,0,0,0,0,0,1,72,45,0,0
"1,33E+23",0,0,88,0,42,0,14,1,0,0,1,1,0,0,0,0,1,2.2,0,0,0
"1,33E+23",1,1,463,0,7893,0,327,0,1,0,1,0,0,0,1,0,1,24,95,1,1
"1,26E+23",0,1,53,0,46819,1,43,0,1,0,1,0,0,0,1,0,1,0.97,66,1,1
"1,31E+23",0,0,93,0,21536,1,8,1,0,0,0,0,0,0,0,0,1,0.52,0,0,0
"1,34E+23",1,0,166,0,258,0,234,0,1,0,0,0,0,0,0,0,1,56,1,0,0
"1,33E+23",1,1,212,0,194,0,440,0,1,0,0,0,0,0,0,0,1,33,22,0,0
"1,33E+23",1,1,527,0,441,0,211,0,1,0,0,0,0,0,0,0,1,24,0,0,0
"1,35E+23",1,1,1231,0,489,0,304,0,1,0,0,1,0,0,1,0,1,110,90,1,1
"1,34E+23",0,0,576,0,229,0,119,0,1,0,0,1,0,0,0,0,1,42,52,0,0
"1,35E+23",0,0,716,0,64,0,21,1,1,0,0,0,0,0,1,0,1,16,100,1,1
"1,35E+23",0,1,220,0,46,0,307,0,1,0,0,0,0,0,1,0,1,500,100,1,1
"1,35E+23",1,1,392,0,512,0,977,0,1,0,0,0,0,0,1,0,1,460,57,0,1
"1,35E+23",1,1,178,0,90,0,829,0,0,1,0,0,0,0,1,0,1,800,84,1,1
"1,34E+23",1,0,440,0,415,0,134,0,1,0,0,0,0,0,1,0,1,43,68,1,0
"1,34E+23",1,1,1554,0,2000,1,1111,0,1,0,0,0,0,0,1,0,1,310,12,0,0
"1,34E+23",1,1,379,0,362,0,527,0,1,0,0,0,0,0,1,0,1,300,85,1,1
"1,34E+22",1,0,1102,0,1019,1,800,0,1,0,0,0,0,0,0,0,1,160,28,0,0
"1,35E+23",0,0,354,0,344,0,223,0,0,0,0,0,0,0,1,0,1,77,61,1,1
"1,35E+23",1,1,136,0,124,0,138,0,1,0,1,0,0,0,0,0,1,49,0,0,0
"1,34E+22",1,0,962,0,940,0,835,0,1,0,0,0,0,0,1,0,1,340,2,0,0
"1,34E+23",0,0,1258,0,1267,1,476,0,1,0,0,0,0,0,0,0,1,99,8,0,0
"1,35E+23",1,0,119,0,113,0,12,1,1,0,0,0,0,0,1,0,1,8.8,83,1,1
"1,35E+23",1,1,40,0,10,0,10,1,1,0,0,0,0,0,1,0,1,330,72,1,1
"1,35E+23",1,1,20,1,9,0,11,1,1,0,1,1,0,0,1,0,1,26,99,1,1
"1,35E+23",1,0,35,0,37,0,62,0,1,0,0,0,0,0,1,0,1,53,84,1,1
"1,35E+23",1,1,88,0,73,0,41,1,1,0,1,0,0,0,1,0,1,290,98,1,1
"1,35E+23",1,0,33,0,28,0,36,1,1,0,0,0,0,0,1,0,1,440,50,0,1
"1,35E+23",0,1,47,0,36,0,369,0,0,0,0,0,0,0,1,0,1,8000,99,1,1
"1,35E+23",1,1,6,1,0,0,3,1,1,0,0,0,0,0,1,0,1,2.7,60,1,1
"1,35E+23",1,1,33,0,27,0,51,0,1,0,0,0,0,0,1,0,1,1500,91,1,1
"1,35E+23",1,1,108,0,64,0,222,0,0,0,0,0,0,0,1,0,1,280,67,1,1
"1,22E+23",1,1,38,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",1,0,20,1,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1
